0000084700000000,*,sell,WEB,*,DOM,0621138169,DOM
0000084700000000,*,sell,*,*,DOM,0621138169,DOM-TEL
0000084700000000,*,buy,WEB,CB,DOM,0621138169,DOM
0000084700000000,*,buy,WEB,PREL,DOM,0621138169,DOM
0000084700000000,*,buy,*,*,DOM,0621138169,DOM-TEL
0000084700000000,*,sell,WEB,*,RES,0621138169,FR
0000084700000000,*,sell,*,*,RES,0621138169,FR-TEL
0000084700000000,*,buy,WEB,CB,RES,0621138169,FR
0000084700000000,*,buy,WEB,PREL,RES,0621138169,FR
0000084700000000,*,buy,*,*,RES,0621138169,FR-TEL
0000084700000000,*,sell,WEB,*,EURPP,0621138169,FR
0000084700000000,*,sell,*,*,EURPP,0621138169,FR-TEL
0000084700000000,*,buy,WEB,CB,EURPP,0621138169,FR
0000084700000000,*,buy,WEB,PREL,EURPP,0621138169,FR
0000084700000000,*,buy,*,*,EURPP,0621138169,FR-TEL
0000084700000000,*,sell,WEB,*,GUF,0621138169,MONDE
0000084700000000,*,sell,*,*,GUF,0621138169,MONDE-TEL
0000084700000000,*,buy,WEB,CB,GUF,0621138169,MONDE
0000084700000000,*,buy,WEB,PREL,GUF,0621138169,MONDE
0000084700000000,*,buy,*,*,GUF,0621138169,MONDE-TEL
0000084700000000,*,sell,WEB,*,MON,0621138169,MONDE
0000084700000000,*,sell,*,*,MON,0621138169,MONDE-TEL
0000084700000000,*,buy,WEB,CB,MON,0621138169,MONDE
0000084700000000,*,buy,WEB,PREL,MON,0621138169,MONDE
0000084700000000,*,buy,*,*,MON,0621138169,MONDE-TEL
0000084700000000,*,sell,WEB,*,EURPM,0621138169,UE
0000084700000000,*,sell,*,*,EURPM,0621138169,UE-TEL
0000084700000000,*,buy,WEB,CB,EURPM,0621138169,UE
0000084700000000,*,buy,WEB,PREL,EURPM,0621138169,UE
0000084700000000,*,buy,*,*,EURPM,0621138169,UE-TEL
0000084700000000,*,*,*,*,*,0621138169,ERREUR
0000002300000000,stp,*,*,*,*,0621116904,RETAIL
0000002300000000,care,*,*,*,*,0621116904,CARE
